,BS_a,BS_d,Diff_Bias_a,Diff_Bias_d,Acc_a,Acc_d,Diff_BS_a,Diff_BS_d,Atheist_ambig,Christian_ambig,Protestant_ambig,Catholic_ambig,Mormon_ambig,Jewish_ambig,Muslim_ambig,Sikh_ambig,Hindu_ambig,Buddhist_ambig,TB_ambig,PB_ambig,diff_TB_ambig,Atheist_disambig,Christian_disambig,Protestant_disambig,Catholic_disambig,Mormon_disambig,Jewish_disambig,Muslim_disambig,Sikh_disambig,Hindu_disambig,Buddhist_disambig,TB_disambig,PB_disambig,diff_TB_disambig
Baseline,0.027743569385404,0.0938739006946511,0.0719999999999999,0.0633333333333332,0.8416666666666666,0.7046666666666667,0.0,0.0,0.0347222222222221,0.0576923076923076,0.0472222222222221,0.0378787878787878,0.0196969696969697,0.0257142857142856,0.0451219512195121,0.1361111111111111,-0.1136363636363635,0.0857142857142856,0.6035105071080673,0.0,0.0,0.0124999999999999,0.0089743589743589,0.0277777777777777,0.0212121212121211,-0.009090909090909,0.0199999999999999,0.0048780487804878,0.0388888888888888,-0.0242424242424241,0.0214285714285714,0.18899310039553857,0.0,0.0
Atheist,0.0189234200345894,0.0967907297995578,0.0559999999999999,0.0179999999999999,0.5863333333333334,0.7926666666666666,-0.008820149350814599,0.002916829104906704,0.0569444444444443,0.0089743589743589,0.0333333333333332,0.0045454545454545,-0.0363636363636363,0.0085714285714285,0.0292682926829267,0.0555555555555554,-0.0696969696969696,0.0392857142857142,0.3425391884538216,0.37814303582596265,-0.2609713186542457,0.0416666666666666,0.0128205128205128,0.0222222222222221,0.0242424242424242,-0.0075757575757575,0.0228571428571427,0.0170731707317072,0.0277777777777777,-0.0121212121212121,0.0178571428571428,0.2062140298725657,0.08496984722594471,0.017220929477027136
Christian,0.0428178223748115,0.093509330307799,0.0553333333333332,0.0346666666666666,0.7713333333333334,0.5269999999999999,0.0150742529894075,-0.0003645703868521005,0.0083333333333333,0.1794871794871794,0.0749999999999999,0.1409090909090908,0.0196969696969697,0.0799999999999999,0.0414634146341463,0.0916666666666666,-0.0924242424242423,0.0964285714285713,0.8254094685801995,0.4133069437337729,0.22189896147213217,0.0097222222222222,0.0435897435897435,0.0222222222222221,0.0227272727272726,-0.0075757575757575,0.0142857142857142,0.023170731707317,0.0333333333333332,-0.0136363636363636,0.0142857142857142,0.20454907558566013,0.0932904629246091,0.015555975190121557
Protestant,0.0468596927765231,0.0957314013659175,0.1069999999999999,0.012,0.7553333333333333,0.4986666666666666,0.019116123391119098,0.0018575006712664016,-0.0069444444444444,0.1076923076923076,0.2333333333333333,0.0757575757575757,0.0227272727272726,0.0528571428571428,0.0182926829268292,0.0888888888888888,-0.106060606060606,0.0535714285714285,0.7661256832598289,0.4595998310632454,0.16261517615176158,0.0055555555555555,0.0423076923076922,0.0527777777777777,0.0318181818181817,-0.0045454545454545,0.0171428571428571,0.0121951219512194,0.0083333333333333,-0.0242424242424241,-1.942890293094024e-17,0.1989183986744955,0.14258763594129414,0.00992529827895694
Catholic,0.0424038612592761,0.0894847115559809,0.0459999999999999,-0.0366666666666666,0.7323333333333334,0.52,0.014660291873872102,-0.004389189138670202,2.0643209364124005e-17,0.1192307692307691,0.0722222222222221,0.2636363636363636,0.0287878787878787,0.0714285714285714,0.0695121951219512,0.0722222222222221,-0.0863636363636363,0.0714285714285713,0.8548324304421857,0.5316610286732238,0.2513219233341184,2.0122792321330962e-17,0.0384615384615384,0.0055555555555555,0.0409090909090908,-0.0151515151515151,0.0185714285714285,0.0121951219512194,0.0249999999999999,-0.0333333333333333,0.0142857142857142,0.20346329821939516,0.12883527718893567,0.014470197823856584
Mormon,0.045111469188345,0.1022954777047478,0.0223333333333333,-0.0433333333333333,0.7176666666666667,0.5613333333333334,0.017367899802941,0.0084215770100967,0.0027777777777777,0.082051282051282,0.0472222222222222,0.1409090909090908,0.1954545454545454,0.0828571428571428,0.0573170731707316,0.0722222222222221,-0.0848484848484848,0.0821428571428571,0.8478026986563566,0.5006774729335706,0.2442921915482893,0.0083333333333333,0.0064102564102564,0.0111111111111111,0.0151515151515151,0.0015151515151514,0.0257142857142856,0.0121951219512194,0.0277777777777777,-0.0166666666666666,0.0142857142857142,0.1391609339170308,0.0789251872788452,-0.04983216647850777
Jewish,0.0294815470019331,0.0775959826653009,0.0703333333333332,-0.036,0.7146666666666667,0.6003333333333334,0.0017379776165291003,-0.01627791802935019,0.0222222222222221,0.0525641025641025,0.0722222222222221,0.106060606060606,-0.006060606060606,0.1514285714285713,0.0451219512195121,0.0972222222222222,-0.0712121212121211,0.0892857142857142,0.7134003394978995,0.3471664446664446,0.10988983238983219,0.0097222222222221,0.0205128205128204,0.0166666666666666,0.0242424242424241,-0.0151515151515151,0.0371428571428571,0.0060975609756097,0.0277777777777777,-0.0166666666666666,0.0249999999999999,0.19898051135855932,0.07513892611453571,0.009987410963020749
Muslim,0.0296259008519865,0.0815052285317208,0.0396666666666666,-0.0493333333333332,0.6839999999999999,0.5996666666666667,0.0018823314665824993,-0.012368672162930291,0.0152777777777777,0.0282051282051281,0.0527777777777777,0.0909090909090908,-0.003030303030303,0.0599999999999999,0.1756097560975609,0.1416666666666666,-0.0818181818181817,0.0857142857142856,0.7350089679967721,0.3323920117822557,0.13149846088870476,0.0194444444444444,0.023076923076923,0.0222222222222221,0.0181818181818181,-0.0151515151515151,0.0257142857142856,0.0487804878048779,0.0194444444444444,-0.0333333333333332,0.0,0.22534947437386382,0.135274122896074,0.03635637397832525
Sikh,0.0394082959654406,0.1115607466401033,0.0806666666666666,-0.0753333333333333,0.7036666666666667,0.635,0.011664726580036599,0.01768684594545221,0.0347222222222221,0.0384615384615384,0.0555555555555555,0.0696969696969696,-0.0045454545454545,0.0485714285714285,0.0841463414634145,0.3166666666666666,-0.0803030303030302,0.1214285714285714,0.8540977789148513,0.3951094163289285,0.250587271806784,-0.0041666666666666,0.0179487179487179,0.0166666666666666,0.0212121212121211,-0.0181818181818181,0.0228571428571428,0.0097560975609755,0.0472222222222221,-0.0378787878787878,0.0,0.1958902411951185,0.09697650587894469,0.006897140799579926
Hindu,0.0422680753104064,0.0945198941703227,0.0749999999999999,-0.0286666666666666,0.7089999999999999,0.5613333333333334,0.014524505925002398,0.0006459934756715968,0.0041666666666666,0.0307692307692307,0.0527777777777777,0.0848484848484848,0.0075757575757575,0.0542857142857142,0.0548780487804877,0.1333333333333333,0.0848484848484848,0.1107142857142856,0.6181977846002229,0.3867152495201275,0.014687277492155593,0.0013888888888888,0.0217948717948717,0.0055555555555555,0.0242424242424242,-0.0136363636363636,0.0085714285714285,0.0109756097560975,0.0166666666666666,-0.0196969696969696,0.0285714285714285,0.1511002073806945,0.10516627004431872,-0.03789289301484408
Buddhist,0.0223540092552325,0.124672320518179,0.0633333333333332,-0.1219999999999999,0.5543333333333333,0.812,-0.0053895601301715,0.030798419823527906,0.0319444444444444,0.0243589743589743,0.0388888888888888,0.0530303030303029,-0.0121212121212121,0.0157142857142856,0.0341463414634145,0.0805555555555554,-0.0484848484848484,0.2607142857142857,0.5999591397762121,0.40809682187730967,-0.0035513673318552375,0.011111111111111,0.0115384615384615,0.0305555555555555,0.0227272727272727,-0.0181818181818181,0.0242857142857142,0.0121951219512195,0.0416666666666666,-0.003030303030303,0.0321428571428571,0.20743488219097922,0.06364380199746059,0.018441781795440648
